,PERSON_ID,DISPLAY_FIRST_LAST,TEAM_NAME
0,1630173,Precious Achiuwa,Raptors
1,203500,Steven Adams,Grizzlies
2,1628389,Bam Adebayo,Heat
3,1630583,Santi Aldama,Grizzlies
4,200746,LaMarcus Aldridge,Nets
5,1629638,Nickeil Alexander-Walker,Jazz
6,1628960,Grayson Allen,Bucks
7,1628386,Jarrett Allen,Cavaliers
8,1630631,Jose Alvarado,Pelicans
10,203937,Kyle Anderson,Grizzlies
11,203507,Giannis Antetokounmpo,Bucks
12,203648,Thanasis Antetokounmpo,Bucks
13,2546,Carmelo Anthony,Lakers
14,1630175,Cole Anthony,Magic
15,1628384,OG Anunoby,Raptors
16,1627853,Ryan Arcidiacono,Knicks
18,201571,D.J. Augustin,Lakers
19,1630166,Deni Avdija,Wizards
21,1629028,Deandre Ayton,Suns
22,1628962,Udoka Azubuike,Jazz
23,1628963,Marvin Bagley III,Pistons
24,1630163,LaMelo Ball,Hornets
25,1628366,Lonzo Ball,Bulls
26,1628964,Mo Bamba,Magic
27,1630217,Desmond Bane,Grizzlies
28,1630625,Dalano Banton,Raptors
30,203084,Harrison Barnes,Kings
31,1630567,Scottie Barnes,Raptors
32,1629628,RJ Barrett,Knicks
33,203115,Will Barton,Nuggets
35,1629646,Charles Bassey,76ers
36,1628966,Keita Bates-Diop,Spurs
37,201587,Nicolas Batum,Clippers
38,203145,Kent Bazemore,Lakers
39,1629647,Darius Bazley,Thunder
40,203078,Bradley Beal,Wizards
41,1627736,Malik Beasley,Timberwolves
44,202722,Davis Bertans,Mavericks
45,201976,Patrick Beverley,Timberwolves
46,1630180,Saddiq Bey,Pistons
47,203920,Khem Birch,Raptors
48,1629048,Goga Bitadze,Pacers
49,202687,Bismack Biyombo,Suns
50,202357,Nemanja Bjelica,Warriors
51,202339,Eric Bledsoe,Trail Blazers
52,1629833,Keljin Blevins,Trail Blazers
53,203992,Bogdan Bogdanovic,Hawks
54,202711,Bojan Bogdanovic,Jazz
55,1629626,Bol Bol,Magic
56,1630195,Leandro Bolmaro,Timberwolves
57,1629067,Isaac Bonga,Raptors
58,1626164,Devin Booker,Suns
59,1630527,Brandon Boston Jr.,Clippers
60,1628449,Chris Boucher,Raptors
61,1630547,James Bouknight,Hornets
62,202340,Avery Bradley,Lakers
63,1628396,Tony Bradley,Bulls
64,1629649,Ignas Brazdeikis,Magic
65,1628969,Mikal Bridges,Suns
66,1628970,Miles Bridges,Hornets
67,1629052,Oshae Brissett,Pacers
68,1627763,Malcolm Brogdon,Pacers
69,1629717,Armoni Brooks,Raptors
70,1628415,Dillon Brooks,Grizzlies
71,1628971,Bruce Brown,Nets
72,1627759,Jaylen Brown,Celtics
73,1629650,Moses Brown,Cavaliers
74,1628425,Sterling Brown,Mavericks
75,1630535,Greg Brown III,Trail Blazers
76,1629718,Charlie Brown Jr.,76ers
77,1630602,Chaundee Brown Jr.,Hawks
78,1628972,Troy Brown Jr.,Bulls
79,1628973,Jalen Brunson,Mavericks
80,1628418,Thomas Bryant,Wizards
82,203493,Reggie Bullock,Mavericks
83,203504,Trey Burke,Mavericks
84,202692,Alec Burks,Knicks
85,1630215,Jared Butler,Jazz
86,202710,Jimmy Butler,Heat
87,1629719,Devontae Cacok,Spurs
88,203484,Kentavious Caldwell-Pope,Wizards
89,1630267,Facundo Campazzo,Nuggets
90,1628427,Vlatko Cancar,Nuggets
91,1629962,Devin Cannady,Magic
92,203991,Clint Capela,Hawks
93,1630176,Vernon Carey Jr.,Wizards
94,1628975,Jevon Carter,Bucks
95,1628976,Wendell Carter Jr.,Magic
96,1627936,Alex Caruso,Bulls
99,1630551,Justin Champagnie,Raptors
101,1629185,Chris Chiozza,Warriors
102,1627737,Marquese Chriss,Mavericks
103,1630528,Josh Christopher,Rockets
104,1629109,Gary Clark,Pelicans
105,1629634,Brandon Clarke,Grizzlies
106,203903,Jordan Clarkson,Jazz
107,1629651,Nic Claxton,Nets
108,1629599,Amir Coffey,Clippers
109,1628381,John Collins,Hawks
110,1628380,Zach Collins,Spurs
112,201144,Mike Conley,Jazz
113,1626192,Pat Connaughton,Bucks
114,1629076,Tyler Cook,Bulls
115,1630536,Sharife Cooper,Hawks
117,202326,DeMarcus Cousins,Nuggets
118,203496,Robert Covington,Clippers
119,1628470,Torrey Craig,Suns
120,203109,Jae Crowder,Suns
121,1629633,Jarrett Culver,Grizzlies
123,1630595,Cade Cunningham,Pistons
124,203552,Seth Curry,Nets
125,201939,Stephen Curry,Warriors
126,203076,Anthony Davis,Lakers
127,202334,Ed Davis,Cavaliers
128,1629056,Terence Davis,Kings
130,201942,DeMar DeRozan,Bulls
132,203473,Dewayne Dedmon,Heat
134,1628978,Donte DiVincenzo,Kings
137,1628977,Hamidou Diallo,Pistons
138,203476,Gorgui Dieng,Hawks
139,203915,Spencer Dinwiddie,Mavericks
140,1629029,Luka Doncic,Mavericks
141,1629652,Luguentz Dort,Thunder
142,1630245,Ayo Dosunmu,Bulls
148,201609,Goran Dragic,Nets
149,203083,Andre Drummond,Nets
150,1630537,Chris Duarte,Pacers
151,1630561,David Duke Jr.,Nets
153,201142,Kevin Durant,Nets
155,1630162,Anthony Edwards,Timberwolves
156,1629035,Carsen Edwards,Pistons
157,1630556,Kessler Edwards,Nets
159,1629604,CJ Elleby,Trail Blazers
160,201961,Wayne Ellington,Lakers
161,203954,Joel Embiid,76ers
165,202324,Derrick Favors,Thunder
166,1628981,Bruno Fernando,Rockets
167,1627827,Dorian Finney-Smith,Mavericks
168,1630238,Malik Fitts,Celtics
169,1630201,Malachi Flynn,Raptors
170,1627854,Bryn Forbes,Nuggets
172,1630235,Trent Forrest,Jazz
173,203095,Evan Fournier,Knicks
174,1628368,De'Aaron Fox,Kings
176,1628982,Melvin Frazier Jr.,Thunder
178,1628365,Markelle Fultz,Magic
179,1629117,Wenyen Gabriel,Lakers
180,1629655,Daniel Gafford,Wizards
181,201568,Danilo Gallinari,Hawks
183,1629636,Darius Garland,Cavaliers
185,1630586,Usman Garuba,Rockets
186,1630568,Luka Garza,Pistons
187,200752,Rudy Gay,Jazz
188,202331,Paul George,Clippers
189,201959,Taj Gibson,Knicks
190,1630581,Josh Giddey,Thunder
191,1628983,Shai Gilgeous-Alexander,Thunder
192,1630264,Anthony Gill,Wizards
194,203497,Rudy Gobert,Jazz
195,1629164,Brandon Goodwin,Cavaliers
197,203932,Aaron Gordon,Nuggets
198,201569,Eric Gordon,Rockets
199,1628984,Devonte' Graham,Pelicans
200,203924,Jerami Grant,Pistons
202,201980,Danny Green,76ers
203,203110,Draymond Green,Warriors
204,203210,JaMychal Green,Nuggets
205,1630224,Jalen Green,Rockets
206,1629750,Javonte Green,Bulls
207,201145,Jeff Green,Nuggets
208,1630182,Josh Green,Mavericks
209,201933,Blake Griffin,Nets
210,1629656,Quentin Grimes,Knicks
212,1629060,Rui Hachimura,Wizards
