PLAYER_ID,PLAYER_NAME,TEAM_NAME,COUNTRY,SEASON_EXP,DRAFT_NUMBER,GP,MIN,PTS,REB,AST,STL,BLK,SALARY,GAME_DATE,BIRTHDATE,HEIGHT,WEIGHT,AGE,POSITION
1630173,Precious Achiuwa,Raptors,Nigeria,1,20,134,18.4,7.2,5.1,0.8,0.4,0.5,2711280,,1999-09-19,203,102.0,"Years=22,Months=8,Days=20",Forward
203500,Steven Adams,Grizzlies,New Zealand,8,12,664,26.8,9.3,8.0,1.5,0.9,0.9,17073171,2022-05-03,1993-07-20,210,120.0,"Years=28,Months=10,Days=21",Center
1628389,Bam Adebayo,Heat,USA,4,14,343,28.2,13.5,8.3,3.5,1.0,0.9,28103550,2022-05-04,1997-07-18,205,115.0,"Years=24,Months=10,Days=22",Center
1630583,Santi Aldama,Grizzlies,Spain,0,30,32,11.2,4.1,2.7,0.7,0.2,0.3,1994520,2022-05-03,2001-01-10,210,97.0,"Years=21,Months=4,Days=28",Forward
200746,LaMarcus Aldridge,Nets,USA,15,2,1076,33.7,19.1,8.1,1.9,0.7,1.1,2641691,,1985-07-19,210,113.0,"Years=36,Months=10,Days=24",Center
1629638,Nickeil Alexander-Walker,Jazz,Canada,2,17,158,19.4,9.3,2.6,2.2,0.7,0.3,3261480,,1998-09-02,195,92.0,"Years=23,Months=9,Days=6",Guard
1628960,Grayson Allen,Bucks,USA,3,21,192,21.9,9.4,2.6,1.5,0.6,0.2,4054695,2022-05-03,1995-10-08,193,89.0,"Years=26,Months=8,Days=2",Guard
1628386,Jarrett Allen,Cavaliers,USA,4,22,341,26.6,11.6,8.7,1.4,0.5,1.4,20000000,,1998-04-21,208,110.0,"Years=24,Months=1,Days=18",Center
1630631,Jose Alvarado,Pelicans,USA,0,-1,54,15.4,6.1,1.9,2.8,1.3,0.1,1500000,,1998-04-12,182,81.0,"Years=24,Months=1,Days=27",Guard
203937,Kyle Anderson,Grizzlies,USA,7,30,505,21.0,6.7,4.4,2.3,1.0,0.6,9937150,2022-05-03,1993-09-20,205,104.0,"Years=28,Months=8,Days=20",Forward
203507,Giannis Antetokounmpo,Bucks,Greece,8,15,656,32.6,21.8,9.4,4.6,1.2,1.3,39344970,2022-05-03,1994-12-06,210,109.0,"Years=27,Months=6,Days=4",Forward
203648,Thanasis Antetokounmpo,Bucks,Greece,3,51,127,9.1,3.1,2.0,0.7,0.4,0.2,1729217,2022-05-03,1992-07-18,198,99.0,"Years=29,Months=10,Days=23",Forward
2546,Carmelo Anthony,Lakers,USA,18,3,1260,34.5,22.5,6.2,2.7,1.0,0.5,2641691,,1984-05-29,200,107.0,"Years=37,Months=12,Days=14",Forward
1630175,Cole Anthony,Magic,USA,1,15,112,29.8,14.9,5.1,5.0,0.7,0.3,3449400,,2000-05-15,190,83.0,"Years=21,Months=12,Days=24",Guard
1628384,OG Anunoby,Raptors,United Kingdom,4,23,301,26.8,10.4,4.1,1.4,1.1,0.5,16071429,,1997-07-17,200,105.0,"Years=24,Months=10,Days=23",Forward
1627853,Ryan Arcidiacono,Bulls,USA,4,-1,217,17.2,4.6,2.0,2.1,0.5,0.0,586136,,1994-03-26,190,88.0,"Years=28,Months=2,Days=14",Guard
201571,D.J. Augustin,Lakers,USA,13,9,976,23.4,9.5,1.8,3.9,0.6,0.0,7622467,,1987-11-10,180,83.0,"Years=34,Months=7,Days=2",Guard
1630166,Deni Avdija,Wizards,Israel,1,9,136,23.8,7.6,5.1,1.7,0.7,0.4,4692840,,2001-01-03,205,95.0,"Years=21,Months=5,Days=5",Forward
1629028,Deandre Ayton,Suns,Bahamas,3,1,236,30.7,16.3,10.5,1.6,0.7,1.0,12632950,2022-05-04,1998-07-23,210,113.0,"Years=23,Months=10,Days=17",Center
1628962,Udoka Azubuike,Jazz,Nigeria,1,27,32,7.9,3.0,2.6,0.0,0.1,0.5,2075880,,1999-09-17,213,122.0,"Years=22,Months=8,Days=22",Center
1628963,Marvin Bagley III,Pistons,USA,3,2,166,25.1,13.6,7.4,0.9,0.5,0.7,11312114,,1999-03-14,210,106.0,"Years=23,Months=2,Days=25",Forward
1630163,LaMelo Ball,Hornets,USA,1,3,126,30.9,18.3,6.4,7.0,1.6,0.4,8231760,,2001-08-22,200,81.0,"Years=20,Months=9,Days=16",Guard
1628366,Lonzo Ball,Bulls,USA,4,2,252,32.5,11.9,5.7,6.2,1.6,0.6,18604651,,1997-10-27,198,86.0,"Years=24,Months=7,Days=13",Guard
1628964,Mo Bamba,Magic,USA,3,6,226,18.6,7.7,6.1,0.9,0.4,1.4,7568742,,1998-05-12,213,104.0,"Years=23,Months=12,Days=28",Center
1630217,Desmond Bane,Grizzlies,USA,1,30,144,26.3,14.0,3.8,2.3,0.9,0.3,2033160,2022-05-03,1998-06-25,195,97.0,"Years=23,Months=11,Days=14",Guard
1630625,Dalano Banton,Raptors,Canada,0,46,64,10.9,3.2,1.9,1.5,0.4,0.2,925258,,1999-11-07,200,92.0,"Years=22,Months=7,Days=2",Forward
203084,Harrison Barnes,Kings,USA,9,7,747,31.8,14.1,5.1,1.8,0.7,0.2,20284091,,1992-05-30,203,102.0,"Years=29,Months=12,Days=11",Forward
1630567,Scottie Barnes,Raptors,USA,0,4,74,35.4,15.3,7.5,3.5,1.1,0.7,7280520,,2001-08-01,200,102.0,"Years=20,Months=10,Days=7",Forward
1629628,RJ Barrett,Knicks,Canada,2,3,198,33.5,17.5,5.6,2.9,0.8,0.3,8623920,,2000-06-14,198,97.0,"Years=21,Months=11,Days=24",Forward
