,Players,Salary
1,Stephen Curry\curryst01,$45780966
2,John Wall\walljo01,$44310840
3,Russell Westbrook\westbru01,$44211146
4,James Harden\hardeja01,$43848000
5,LeBron James\jamesle01,$41180544
6,Kevin Durant\duranke01,$40918900
7,Giannis Antetokounmpo\antetgi01,$39344970
8,Paul George\georgpa01,$39344970
9,Damian Lillard\lillada01,$39344900
10,Kawhi Leonard\leonaka01,$39344900
11,Klay Thompson\thompkl01,$37980720
12,Jimmy Butler\butleji01,$36016200
13,Tobias Harris\harrito02,$36000000
14,Khris Middleton\middlkh01,$35500000
15,Anthony Davis\davisan02,$35361360
16,Rudy Gobert\goberru01,$35344828
17,Kyrie Irving\irvinky01,$34916200
18,Bradley Beal\bealbr01,$34502130
19,Kristaps Porziņģis\porzikr01,$31650600
20,Devin Booker\bookede01,$31610000
21,Karl-Anthony Towns\townska01,$31610000
22,Jamal Murray\murraja01,$31590000
23,Ben Simmons\simmobe01,$31590000
24,Joel Embiid\embiijo01,$31579390
25,Andrew Wiggins\wiggian01,$31579390
26,Pascal Siakam\siakapa01,$31320000
27,Kevin Love\loveke01,$31300000
28,CJ McCollum\mccolcj01,$30864198
29,Chris Paul\paulch01,$30800000
30,Nikola Jokić\jokicni01,$30510423
31,Jrue Holiday\holidjr01,$30133333
32,D'Angelo Russell\russeda01,$30013500
33,Gordon Hayward\haywago01,$29900000
34,Blake Griffin\griffbl01,$32405817
35,Brandon Ingram\ingrabr01,$29467800
36,De'Aaron Fox\foxde01,$28103550
37,Bam Adebayo\adebaba01,$28103550
38,Donovan Mitchell\mitchdo01,$28103550
39,Jayson Tatum\tatumja01,$28103550
40,Al Horford\horfoal01,$27000000
41,Kyle Lowry\lowryky01,$26984128
42,Kemba Walker\walkeke02,$34967442
43,DeMar DeRozan\derozde01,$26000000
44,Jaylen Brown\brownja02,$24830357
45,Draymond Green\greendr01,$24026712
46,Nikola Vučević\vucevni01,$24000000
47,John Collins\collijo01,$23000000
48,Buddy Hield\hieldbu01,$22477273
49,Malcolm Brogdon\brogdma01,$21700000
50,Tim Hardaway Jr.\hardati02,$21306816
51,Mike Conley\conlemi01,$21000000
52,Gary Harris\harriga01,$20482143
53,Danilo Gallinari\gallida01,$20475000
54,Harrison Barnes\barneha02,$20284091
55,Jarrett Allen\allenja01,$20000000
56,Jerami Grant\grantje01,$20000000
57,Julius Randle\randlju01,$19800000
58,Fred VanVleet\vanvlfr01,$19675926
59,Zach LaVine\lavinza01,$19500000
60,Goran Dragić\dragigo01,$20168742
61,Bojan Bogdanović\bogdabo02,$18700000
62,Lonzo Ball\balllo01,$18604651
63,Domantas Sabonis\sabondo01,$18562500
64,Eric Gordon\gordoer01,$18218818
65,Evan Fournier\fournev01,$18139535
66,Eric Bledsoe\bledser01,$18125000
67,Myles Turner\turnemy01,$18000000
68,Bogdan Bogdanović\bogdabo01,$18000000
69,Terry Rozier\roziete01,$17905263
70,Ricky Rubio\rubiori01,$17809524
71,Caris LeVert\leverca01,$17500000
72,Jonathan Isaac\isaacjo01,$17400000
73,Joe Harris\harrijo01,$17357143
74,Spencer Dinwiddie\dinwisp01,$17142857
