,PLAYER_ID,PLAYER_NAME,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER,GP,MIN,PTS,REB,AST,STL,BLK,GAME_DATE,SALARY
0,1630173,Precious Achiuwa,Raptors,Forward,6-8,225,Nigeria,1999-09-19T00:00:00,1,20,134,18.4,7.2,5.1,0.8,0.4,0.5,,$2711280
1,203500,Steven Adams,Grizzlies,Center,6-11,265,New Zealand,1993-07-20T00:00:00,8,12,664,26.8,9.3,8.0,1.5,0.9,0.9,MAY 03 2022,$17073171
2,1628389,Bam Adebayo,Heat,Center-Forward,6-9,255,USA,1997-07-18T00:00:00,4,14,343,28.2,13.5,8.3,3.5,1.0,0.9,MAY 04 2022,$28103550
3,1630583,Santi Aldama,Grizzlies,Forward-Center,6-11,215,Spain,2001-01-10T00:00:00,0,30,32,11.2,4.1,2.7,0.7,0.2,0.3,MAY 03 2022,$1994520
4,200746,LaMarcus Aldridge,Nets,Center-Forward,6-11,250,USA,1985-07-19T00:00:00,15,2,1076,33.7,19.1,8.1,1.9,0.7,1.1,,$2641691
5,1629638,Nickeil Alexander-Walker,Jazz,Guard,6-5,205,Canada,1998-09-02T00:00:00,2,17,158,19.4,9.3,2.6,2.2,0.7,0.3,,$3261480
6,1628960,Grayson Allen,Bucks,Guard,6-4,198,USA,1995-10-08T00:00:00,3,21,192,21.9,9.4,2.6,1.5,0.6,0.2,MAY 03 2022,$4054695
7,1628386,Jarrett Allen,Cavaliers,Center,6-10,243,USA,1998-04-21T00:00:00,4,22,341,26.6,11.6,8.7,1.4,0.5,1.4,,$20000000
8,1630631,Jose Alvarado,Pelicans,Guard,6-0,179,USA,1998-04-12T00:00:00,0,Undrafted,54,15.4,6.1,1.9,2.8,1.3,0.1,,$1500000
9,203937,Kyle Anderson,Grizzlies,Forward-Guard,6-9,230,USA,1993-09-20T00:00:00,7,30,505,21.0,6.7,4.4,2.3,1.0,0.6,MAY 03 2022,$9937150
10,203507,Giannis Antetokounmpo,Bucks,Forward,6-11,242,Greece,1994-12-06T00:00:00,8,15,656,32.6,21.8,9.4,4.6,1.2,1.3,MAY 03 2022,$39344970
11,203648,Thanasis Antetokounmpo,Bucks,Forward,6-6,219,Greece,1992-07-18T00:00:00,3,51,127,9.1,3.1,2.0,0.7,0.4,0.2,MAY 03 2022,$1729217
12,2546,Carmelo Anthony,Lakers,Forward,6-7,238,USA,1984-05-29T00:00:00,18,3,1260,34.5,22.5,6.2,2.7,1.0,0.5,,$2641691
13,1630175,Cole Anthony,Magic,Guard,6-3,185,USA,2000-05-15T00:00:00,1,15,112,29.8,14.9,5.1,5.0,0.7,0.3,,$3449400
14,1628384,OG Anunoby,Raptors,Forward,6-7,232,United Kingdom,1997-07-17T00:00:00,4,23,301,26.8,10.4,4.1,1.4,1.1,0.5,,$16071429
15,1627853,Ryan Arcidiacono,Bulls,Guard,6-3,195,USA,1994-03-26T00:00:00,4,Undrafted,217,17.2,4.6,2.0,2.1,0.5,0.0,,$586136
16,201571,D.J. Augustin,Lakers,Guard,5-11,183,USA,1987-11-10T00:00:00,13,9,976,23.4,9.5,1.8,3.9,0.6,0.0,,$7622467
17,1630166,Deni Avdija,Wizards,Forward,6-9,210,Israel,2001-01-03T00:00:00,1,9,136,23.8,7.6,5.1,1.7,0.7,0.4,,$4692840
18,1629028,Deandre Ayton,Suns,Center,6-11,250,Bahamas,1998-07-23T00:00:00,3,1,236,30.7,16.3,10.5,1.6,0.7,1.0,MAY 04 2022,$12632950
19,1628962,Udoka Azubuike,Jazz,Center-Forward,7-0,270,Nigeria,1999-09-17T00:00:00,1,27,32,7.9,3.0,2.6,0.0,0.1,0.5,,$2075880
20,1628963,Marvin Bagley III,Pistons,Forward,6-11,235,USA,1999-03-14T00:00:00,3,2,166,25.1,13.6,7.4,0.9,0.5,0.7,,$11312114
21,1630163,LaMelo Ball,Hornets,Guard,6-7,180,USA,2001-08-22T00:00:00,1,3,126,30.9,18.3,6.4,7.0,1.6,0.4,,$8231760
22,1628366,Lonzo Ball,Bulls,Guard,6-6,190,USA,1997-10-27T00:00:00,4,2,252,32.5,11.9,5.7,6.2,1.6,0.6,,$18604651
23,1628964,Mo Bamba,Magic,Center,7-0,231,USA,1998-05-12T00:00:00,3,6,226,18.6,7.7,6.1,0.9,0.4,1.4,,$7568742
24,1630217,Desmond Bane,Grizzlies,Guard,6-5,215,USA,1998-06-25T00:00:00,1,30,144,26.3,14.0,3.8,2.3,0.9,0.3,MAY 03 2022,$2033160
25,1630625,Dalano Banton,Raptors,Forward,6-7,204,Canada,1999-11-07T00:00:00,0,46,64,10.9,3.2,1.9,1.5,0.4,0.2,,$925258
26,203084,Harrison Barnes,Kings,Forward,6-8,225,USA,1992-05-30T00:00:00,9,7,747,31.8,14.1,5.1,1.8,0.7,0.2,,$20284091
27,1630567,Scottie Barnes,Raptors,Forward,6-7,225,USA,2001-08-01T00:00:00,0,4,74,35.4,15.3,7.5,3.5,1.1,0.7,,$7280520
28,1629628,RJ Barrett,Knicks,Forward-Guard,6-6,214,Canada,2000-06-14T00:00:00,2,3,198,33.5,17.5,5.6,2.9,0.8,0.3,,$8623920
29,203115,Will Barton,Nuggets,Guard,6-5,181,USA,1991-01-06T00:00:00,9,40,623,25.9,11.6,4.3,2.7,0.8,0.4,,$15384615
30,1629646,Charles Bassey,76ers,Center-Forward,6-9,230,Nigeria,2000-10-28T00:00:00,0,53,23,7.3,3.0,2.7,0.3,0.2,0.7,MAY 04 2022,$925258
31,1628966,Keita Bates-Diop,Spurs,Forward,6-8,229,USA,1996-01-23T00:00:00,3,48,163,15.0,5.2,3.0,0.6,0.5,0.3,,$1729217
32,201587,Nicolas Batum,Clippers,Guard-Forward,6-8,230,France,1988-12-14T00:00:00,13,25,915,30.6,11.1,5.1,3.5,1.0,0.6,,$12213507
33,203145,Kent Bazemore,Lakers,Guard-Forward,6-4,195,USA,1989-07-01T00:00:00,9,Undrafted,657,20.6,8.2,3.2,1.8,1.0,0.5,,$2401537
34,1629647,Darius Bazley,Thunder,Forward,6-8,208,USA,2000-06-12T00:00:00,2,23,185,25.8,10.0,5.8,1.3,0.6,0.7,,$2513040
35,203078,Bradley Beal,Wizards,Guard,6-4,207,USA,1993-06-28T00:00:00,9,3,645,34.8,22.1,4.1,4.2,1.1,0.4,,$34502130
36,1627736,Malik Beasley,Timberwolves,Guard,6-4,187,USA,1996-11-26T00:00:00,5,19,336,20.9,10.4,2.5,1.2,0.6,0.1,,$14391964
37,202722,Davis Bertans,Mavericks,Forward,6-10,225,Latvia,1992-11-12T00:00:00,5,42,387,19.1,8.2,2.7,1.0,0.4,0.4,MAY 04 2022,$16000000
38,201976,Patrick Beverley,Timberwolves,Guard,6-1,180,USA,1988-07-12T00:00:00,9,42,526,27.4,8.8,4.3,3.5,1.1,0.5,,$14320988
39,1630180,Saddiq Bey,Pistons,Forward,6-7,215,USA,1999-04-09T00:00:00,1,19,152,30.4,14.3,5.0,2.2,0.8,0.2,,$2824320
40,203920,Khem Birch,Raptors,Center,6-9,233,Canada,1992-09-28T00:00:00,4,Undrafted,262,17.8,5.2,4.6,1.0,0.5,0.6,,$6350000
41,1629048,Goga Bitadze,Pacers,Center-Forward,7-0,250,Georgia,1999-07-20T00:00:00,2,18,149,11.8,5.0,2.9,0.8,0.3,0.9,,$3098400
42,202687,Bismack Biyombo,Suns,Center,6-8,255,DRC,1992-08-28T00:00:00,10,7,738,19.9,5.2,6.1,0.6,0.3,1.3,MAY 04 2022,$1366392
43,202357,Nemanja Bjelica,Warriors,Forward,6-9,234,Serbia,1988-05-09T00:00:00,6,35,449,20.4,7.6,4.6,1.8,0.6,0.4,MAY 03 2022,$2089448
44,202339,Eric Bledsoe,Trail Blazers,Guard,6-1,214,USA,1989-12-09T00:00:00,11,18,756,27.8,13.7,3.9,4.7,1.4,0.5,,$18125000
45,1629833,Keljin Blevins,Trail Blazers,Guard,6-4,200,USA,1995-11-24T00:00:00,1,,48,8.8,2.2,1.1,0.5,0.3,0.0,,
46,203992,Bogdan Bogdanovic,Hawks,Guard,6-6,225,Serbia,1992-08-18T00:00:00,4,27,316,28.6,14.2,3.4,3.4,1.0,0.2,,$18000000
47,202711,Bojan Bogdanovic,Jazz,Forward,6-7,226,Croatia,1989-04-18T00:00:00,7,31,603,29.1,15.0,3.6,1.6,0.6,0.1,,$18700000
48,1629626,Bol Bol,Magic,Center-Forward,7-2,220,Sudan,1999-11-16T00:00:00,2,44,53,6.2,2.7,1.2,0.3,0.1,0.3,,$2161152
49,1630195,Leandro Bolmaro,Timberwolves,Forward,6-6,200,Argentina,2000-09-11T00:00:00,0,23,35,6.9,1.4,1.2,0.6,0.2,0.0,,$2353320
50,1629067,Isaac Bonga,Raptors,Guard,6-8,180,Germany,1999-11-08T00:00:00,3,39,143,13.1,3.1,2.2,0.8,0.5,0.3,,$1729217
51,1626164,Devin Booker,Suns,Guard,6-5,206,USA,1996-10-30T00:00:00,6,13,477,33.7,23.5,3.9,4.7,0.8,0.3,MAY 04 2022,$31610000
52,1630527,Brandon Boston Jr.,Clippers,Guard,6-6,188,USA,2001-11-28T00:00:00,0,51,51,14.9,6.7,2.2,1.0,0.5,0.3,,$925258
53,1628449,Chris Boucher,Raptors,Forward-Center,6-9,200,Saint Lucia,1993-01-11T00:00:00,4,Undrafted,231,17.9,9.0,5.3,0.5,0.5,1.2,,$7009615
54,1630547,James Bouknight,Hornets,Guard,6-4,190,USA,2000-09-18T00:00:00,0,11,31,9.8,4.6,1.7,0.8,0.2,0.0,,$4154400
55,202340,Avery Bradley,Lakers,Guard,6-3,180,USA,1990-11-26T00:00:00,11,19,660,27.5,11.0,2.8,1.7,1.0,0.2,,$2641691
56,1628396,Tony Bradley,Bulls,Center-Forward,6-10,248,USA,1998-01-08T00:00:00,4,28,167,11.7,4.6,4.3,0.5,0.2,0.6,,$1789256
57,1629649,Ignas Brazdeikis,Magic,Forward,6-6,221,Canada,1999-01-08T00:00:00,2,47,64,13.1,5.0,1.9,0.9,0.2,0.1,,
58,1628969,Mikal Bridges,Suns,Forward,6-6,209,USA,1996-08-30T00:00:00,3,10,309,31.3,11.3,3.9,2.1,1.3,0.6,MAY 04 2022,$5557725
59,1628970,Miles Bridges,Hornets,Forward,6-7,225,USA,1998-03-21T00:00:00,3,12,291,29.1,13.4,5.6,2.3,0.7,0.7,,$5421493
60,1629052,Oshae Brissett,Pacers,Forward-Guard,6-7,210,Canada,1998-06-20T00:00:00,2,Undrafted,107,20.7,8.2,4.7,0.9,0.6,0.5,,$1701593
61,1627763,Malcolm Brogdon,Pacers,Guard,6-5,229,USA,1992-12-11T00:00:00,5,36,333,30.2,15.5,4.2,4.8,0.9,0.2,,$21700000
62,1629717,Armoni Brooks,Raptors,Guard,6-3,195,USA,1998-06-05T00:00:00,1,,74,18.4,6.9,2.3,1.2,0.5,0.2,,$1625991
63,1628415,Dillon Brooks,Grizzlies,Guard-Forward,6-7,225,Canada,1996-01-22T00:00:00,4,45,272,28.2,14.5,3.0,2.0,1.0,0.3,MAY 03 2022,$12200000
64,1628971,Bruce Brown,Nets,Guard-Forward,6-4,202,USA,1996-08-15T00:00:00,3,42,269,23.5,7.6,4.3,2.1,0.9,0.5,,$4736102
65,1627759,Jaylen Brown,Celtics,Guard-Forward,6-6,223,USA,1996-10-24T00:00:00,5,3,403,28.7,16.5,4.9,2.0,0.9,0.4,MAY 03 2022,$24830357
66,1629650,Moses Brown,Cavaliers,Center,7-2,245,USA,1999-10-13T00:00:00,2,Undrafted,92,14.1,6.0,5.8,0.1,0.4,0.7,,$1720779
67,1628425,Sterling Brown,Mavericks,Guard-Forward,6-5,219,USA,1995-02-10T00:00:00,4,46,264,16.8,5.4,3.3,1.0,0.5,0.2,MAY 04 2022,$3000000
68,1630535,Greg Brown III,Trail Blazers,Forward,6-7,206,USA,2001-09-01T00:00:00,0,43,48,13.3,4.7,2.8,0.7,0.5,0.5,,$925258
69,1629718,Charlie Brown Jr.,76ers,Guard,6-6,199,USA,1997-02-02T00:00:00,2,Undrafted,41,9.0,2.2,1.3,0.4,0.4,0.2,MAY 04 2022,
70,1630602,Chaundee Brown Jr.,Hawks,Forward,6-5,215,USA,1998-12-04T00:00:00,0,Undrafted,5,20.7,6.2,3.2,0.8,0.4,0.0,,
71,1628972,Troy Brown Jr.,Bulls,Guard-Forward,6-6,215,USA,1999-07-28T00:00:00,3,15,221,18.5,6.4,3.8,1.6,0.7,0.1,,$5170564
72,1628973,Jalen Brunson,Mavericks,Guard,6-1,190,USA,1996-08-31T00:00:00,3,33,277,24.7,11.9,3.0,3.7,0.6,0.0,MAY 04 2022,$1802057
73,1628418,Thomas Bryant,Wizards,Center-Forward,6-10,248,USA,1997-07-31T00:00:00,4,42,170,20.1,10.2,5.7,1.3,0.4,0.9,,$8730159
74,203493,Reggie Bullock,Mavericks,Guard-Forward,6-6,205,USA,1991-03-16T00:00:00,8,25,434,22.5,7.8,2.5,1.2,0.6,0.1,MAY 04 2022,$9536000
75,203504,Trey Burke,Mavericks,Guard,6-0,185,USA,1992-11-12T00:00:00,8,9,498,20.9,9.6,1.8,3.1,0.6,0.1,MAY 04 2022,$3333333
76,202692,Alec Burks,Knicks,Guard,6-6,214,USA,1991-07-20T00:00:00,10,12,625,23.0,10.6,3.5,2.0,0.7,0.2,,$9536000
77,1630215,Jared Butler,Jazz,Guard,6-3,193,USA,2000-08-25T00:00:00,0,40,42,8.6,3.8,1.1,1.5,0.4,0.2,,$925258
78,202710,Jimmy Butler,Heat,Forward,6-7,230,USA,1989-09-14T00:00:00,10,30,690,33.1,17.7,5.3,4.1,1.6,0.5,MAY 04 2022,$36016200
79,1629719,Devontae Cacok,Spurs,Forward,6-7,240,USA,1996-10-08T00:00:00,2,Undrafted,36,6.3,2.5,2.2,0.2,0.4,0.3,,$364533
80,203484,Kentavious Caldwell-Pope,Wizards,Guard,6-5,204,USA,1993-02-18T00:00:00,8,8,683,29.2,11.6,3.1,1.7,1.1,0.2,,$13038862
81,1630267,Facundo Campazzo,Nuggets,Guard,5-10,195,Argentina,1991-03-23T00:00:00,1,Undrafted,130,20.1,5.6,1.9,3.5,1.1,0.3,,$3804150
82,1628427,Vlatko Cancar,Nuggets,Forward,6-8,236,Slovenia,1997-04-10T00:00:00,2,49,70,7.2,2.3,1.3,0.5,0.2,0.1,,$1782621
83,1629962,Devin Cannady,Magic,Guard,6-2,183,USA,1996-05-21T00:00:00,1,,13,16.8,6.5,0.8,0.8,0.8,0.3,,$100000
84,203991,Clint Capela,Hawks,Center,6-10,256,Switzerland,1994-05-18T00:00:00,7,25,471,26.8,12.4,10.7,1.0,0.7,1.5,,$17103448
85,1630176,Vernon Carey Jr.,Wizards,Forward-Center,6-9,270,USA,2001-02-25T00:00:00,1,32,26,6.1,2.5,1.5,0.1,0.1,0.2,,$1517981
